path,set,subclass,projection,study_uid,primary_label,admitted,admission_reason_code,modality_score
ml\outputs\calibration\sets\frontal\2239_IM-0836-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2239.0,Support Devices,True,,0.999848256563835
ml\outputs\calibration\sets\frontal\473_IM-2101-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,473.0,Normal,True,,0.999959830212701
ml\outputs\calibration\sets\frontal\2579_IM-1078-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2579.0,Normal,True,,0.9999897730433358
ml\outputs\calibration\sets\frontal\3111_IM-1461-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3111.0,Edema/Congestion,True,,0.9999116784001257
ml\outputs\calibration\sets\frontal\3158_IM-1487-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3158.0,Scarring,True,,0.9959201386559747
ml\outputs\calibration\sets\frontal\739_IM-2296-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,739.0,Normal,True,,0.9999784299432846
ml\outputs\calibration\sets\frontal\3658_IM-1819-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3658.0,Nodule/Mass,True,,0.9999965538164389
ml\outputs\calibration\sets\frontal\2394_IM-0944-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2394.0,Normal,True,,0.9999981561525104
ml\outputs\calibration\sets\frontal\3687_IM-1838-2001.dcm.png,positive,chest_radiograph_frontal,Frontal,3687.0,Atelectasis,True,,0.9999905651187625
ml\outputs\calibration\sets\frontal\2859_IM-1266-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2859.0,Pneumonia,True,,0.9995839926591844
ml\outputs\calibration\sets\frontal\2868_IM-1275-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2868.0,Degenerative/Bone,True,,0.9999941092920552
ml\outputs\calibration\sets\frontal\1239_IM-0160-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1239.0,Normal,True,,0.9999902052870738
ml\outputs\calibration\sets\frontal\3229_IM-1526-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3229.0,Other Abnormality,True,,0.999746816581897
ml\outputs\calibration\sets\frontal\3663_IM-1822-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3663.0,Normal,True,,0.9999940536235185
ml\outputs\calibration\sets\frontal\2864_IM-1272-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2864.0,Lung Opacity,True,,0.9999978606245162
ml\outputs\calibration\sets\frontal\2456_IM-0989-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2456.0,Cardiomegaly,True,,0.9996210833817553
ml\outputs\calibration\sets\frontal\844_IM-2367-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,844.0,Normal,True,,0.9999476745057476
ml\outputs\calibration\sets\frontal\2958_IM-1354-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2958.0,Fibrosis/Interstitial,True,,0.9999513837285711
ml\outputs\calibration\sets\frontal\1721_IM-0476-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1721.0,Normal,True,,0.9999887182793339
ml\outputs\calibration\sets\frontal\2575_IM-1075-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2575.0,Other Abnormality,True,,0.9999838198860218
ml\outputs\calibration\sets\frontal\3428_IM-1657-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,3428.0,Degenerative/Bone,True,,0.9999518073329533
ml\outputs\calibration\sets\frontal\3688_IM-1839-0001-0001.dcm.png,positive,chest_radiograph_frontal,Frontal,3688.0,Pleural Effusion,True,,0.9998179038695693
ml\outputs\calibration\sets\frontal\2263_IM-0853-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2263.0,Atelectasis,True,,0.9996214129348657
ml\outputs\calibration\sets\frontal\2174_IM-0787-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,2174.0,Normal,True,,0.9998170501172644
ml\outputs\calibration\sets\frontal\1913_IM-0595-1001.dcm.png,positive,chest_radiograph_frontal,Frontal,1913.0,Other Abnormality,True,,0.999987995095808
