threshold,false_negative_rate,fnr_frontal,fnr_lateral,false_positive_rate,n_positive,n_negative,fpr_natural_photograph,fpr_other_medical_imaging,fpr_other_radiograph_modality,fpr_scanned_document
0.0,0.0,0.0,0.0,1.0,600,99,1.0,1.0,1.0,1.0
0.01,0.0,0.0,0.0,0.31313131313131315,600,99,0.10666666666666667,1.0,1.0,0.0
0.02,0.0016666666666666668,0.0,0.0033333333333333335,0.26262626262626265,600,99,0.04,1.0,1.0,0.0
0.03,0.0016666666666666668,0.0,0.0033333333333333335,0.25252525252525254,600,99,0.02666666666666667,1.0,1.0,0.0
0.04,0.0016666666666666668,0.0,0.0033333333333333335,0.23232323232323232,600,99,0.013333333333333334,0.0,1.0,0.0
0.05,0.0033333333333333335,0.0,0.006666666666666667,0.23232323232323232,600,99,0.013333333333333334,0.0,1.0,0.0
0.06,0.0033333333333333335,0.0,0.006666666666666667,0.23232323232323232,600,99,0.013333333333333334,0.0,1.0,0.0
0.07,0.0033333333333333335,0.0,0.006666666666666667,0.23232323232323232,600,99,0.013333333333333334,0.0,1.0,0.0
0.08,0.0033333333333333335,0.0,0.006666666666666667,0.23232323232323232,600,99,0.013333333333333334,0.0,1.0,0.0
0.09,0.005,0.0,0.01,0.2222222222222222,600,99,0.013333333333333334,0.0,0.9545454545454546,0.0
0.1,0.005,0.0,0.01,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.11,0.005,0.0,0.01,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.12,0.005,0.0,0.01,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.13,0.005,0.0,0.01,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.14,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.15,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.16,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.17,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.18,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.19,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.2,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.21,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.22,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.23,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.24,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.25,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.26,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.27,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.28,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.29,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.3,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.31,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.32,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.33,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.34,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.35,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.36,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.37,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.38,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.39,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.4,0.006666666666666667,0.0,0.013333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.41,0.008333333333333333,0.0,0.016666666666666666,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.42,0.008333333333333333,0.0,0.016666666666666666,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.43,0.008333333333333333,0.0,0.016666666666666666,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.44,0.008333333333333333,0.0,0.016666666666666666,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.45,0.011666666666666667,0.0,0.023333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.46,0.011666666666666667,0.0,0.023333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.47,0.011666666666666667,0.0,0.023333333333333334,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.48,0.013333333333333334,0.0,0.02666666666666667,0.21212121212121213,600,99,0.0,0.0,0.9545454545454546,0.0
0.49,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.5,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.51,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.52,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.53,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.54,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.55,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.56,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.57,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.58,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.59,0.015,0.0,0.03,0.20202020202020202,600,99,0.0,0.0,0.9090909090909091,0.0
0.6,0.015,0.0,0.03,0.1919191919191919,600,99,0.0,0.0,0.8636363636363636,0.0
