study_uid,field,mismatched_with_study_uid,bertscore_p,bertscore_r,bertscore_f1
1,findings,3229,0.8236405253410339,0.8666905760765076,0.8446173667907715
1052,findings,2229,0.8377830982208252,0.8533785343170166,0.845508873462677
1067,findings,3189,0.8293664455413818,0.8647452592849731,0.8466864228248596
1330,findings,207,0.8449707627296448,0.9300059676170349,0.8854514956474304
1473,findings,2578,0.8761767148971558,0.8287636637687683,0.8518109321594238
1520,findings,2879,0.8229517340660095,0.8424417972564697,0.8325826525688171
1523,findings,3085,0.7811846733093262,0.8423272967338562,0.8106046319007874
1550,findings,2451,0.8197325468063354,0.8131833076477051,0.8164448142051697
1551,findings,3967,0.8903322815895081,0.8663569092750549,0.878180980682373
1556,findings,3545,0.8216211795806885,0.8203418850898743,0.8209810853004456
1563,findings,1067,0.8180590867996216,0.8562355041503906,0.8367120623588562
1597,findings,238,0.8124322891235352,0.8327547311782837,0.8224679827690125
1648,findings,2371,0.840726375579834,0.8583235740661621,0.8494338393211365
1732,findings,3109,0.848341166973114,0.9204998016357422,0.8829485774040222
1750,findings,3707,0.8217529654502869,0.8433711528778076,0.8324217200279236
1813,findings,799,0.8449108600616455,0.8692399859428406,0.8569027781486511
1883,findings,309,0.8006685376167297,0.847874641418457,0.8235957622528076
1932,findings,3241,0.8503731489181519,0.846172571182251,0.8482676148414612
207,findings,1473,0.8875942230224609,0.8719702959060669,0.8797129392623901
2161,findings,618,0.8271437287330627,0.8609948754310608,0.8437298536300659
2209,findings,3979,0.8591970801353455,0.8675088882446289,0.8633329272270203
2229,findings,2639,0.8948927521705627,0.8005743622779846,0.8451101183891296
2348,findings,2464,0.8094108700752258,0.8510485291481018,0.829707682132721
2349,findings,3694,0.7927507162094116,0.8026206493377686,0.7976551651954651
2371,findings,1550,0.8839744329452515,0.8756840229034424,0.8798097372055054
238,findings,3206,0.8190197944641113,0.8848153948783875,0.8506471514701843
2440,findings,3687,0.8766096830368042,0.8634224534034729,0.8699660301208496
2451,findings,2440,0.8461521863937378,0.8960899710655212,0.8704054355621338
2464,findings,3639,0.8583056926727295,0.8724886178970337,0.8653390407562256
2486,findings,3672,0.8076696991920471,0.8308422565460205,0.8190921545028687
2506,findings,2655,0.8638421893119812,0.8358081579208374,0.849593997001648
2516,findings,1,0.8162423372268677,0.888450562953949,0.8508171439170837
2569,findings,3858,0.8632192611694336,0.8523321151733398,0.857741117477417
2578,findings,2963,0.899692177772522,0.8088083267211914,0.8518329858779907
2616,findings,1563,0.7886941432952881,0.8723786473274231,0.8284284472465515
2623,findings,2486,0.8337936997413635,0.8698321580886841,0.8514317274093628
2636,findings,3502,0.8257219791412354,0.7873029708862305,0.806054949760437
2639,findings,2956,0.8060423135757446,0.8986148834228516,0.8498149514198303
2655,findings,1932,0.8751189708709717,0.859399676322937,0.8671880960464478
2728,findings,3961,0.8099604249000549,0.8458458185195923,0.8275142312049866
2748,findings,2728,0.8169387578964233,0.8375867009162903,0.82713383436203
2865,findings,2748,0.8347461819648743,0.8830691576004028,0.8582279682159424
2879,findings,3918,0.8193623423576355,0.8505874872207642,0.8346830010414124
2880,findings,1520,0.849560558795929,0.8131870627403259,0.8309759497642517
2902,findings,3471,0.8177385330200195,0.8212162256240845,0.8194736838340759
2956,findings,1052,0.81292325258255,0.8424768447875977,0.8274362683296204
2963,findings,470,0.8928738832473755,0.9020130038261414,0.8974202275276184
3003,findings,3770,0.8354046940803528,0.8839523196220398,0.8589931130409241
3017,findings,3311,0.8112406134605408,0.8885599970817566,0.8481417894363403
3039,findings,1330,0.8937352299690247,0.8717982769012451,0.882630467414856
3085,findings,3766,0.8261684775352478,0.8382276296615601,0.832154393196106
309,findings,3977,0.8151266574859619,0.878960132598877,0.8458408117294312
3109,findings,2209,0.8249167203903198,0.8652234673500061,0.8445894718170166
3121,findings,3907,0.8314569592475891,0.808441698551178,0.8197878003120422
3141,findings,2880,0.8029718399047852,0.8666077852249146,0.833577036857605
3156,findings,358,0.8501873016357422,0.8737972378730774,0.8618306517601013
3189,findings,2569,0.8484978079795837,0.8691771030426025,0.8587129712104797
3206,findings,3634,0.8246749639511108,0.8565830588340759,0.8403262495994568
3211,findings,2349,0.748915433883667,0.8428220748901367,0.7930986881256104
3229,findings,538,0.8427273035049438,0.8731492757797241,0.8576685786247253
3238,findings,3494,0.8452903032302856,0.8407710790634155,0.8430246114730835
3241,findings,1813,0.8171238899230957,0.8763340711593628,0.8456938862800598
3283,findings,3017,0.8296424150466919,0.8288459181785583,0.8292440176010132
3311,findings,3156,0.8699532151222229,0.8799208402633667,0.8749085664749146
3327,findings,3238,0.7834105491638184,0.8241902589797974,0.8032832145690918
3363,findings,1556,0.8397111892700195,0.8387246131896973,0.8392176032066345
3413,findings,3283,0.8031371831893921,0.8666957020759583,0.833706796169281
345,findings,2516,0.852844774723053,0.8556550741195679,0.8542476296424866
3471,findings,3546,0.8257893323898315,0.8128664493560791,0.8192769289016724
3494,findings,1883,0.8593798279762268,0.8309326171875,0.8449168801307678
3502,findings,2902,0.8227120041847229,0.8413243889808655,0.8319141268730164
3545,findings,3756,0.8335314393043518,0.8550319671630859,0.8441448211669922
3546,findings,345,0.8058516979217529,0.8447586297988892,0.824846625328064
358,findings,2616,0.8689687252044678,0.8260973691940308,0.8469908833503723
3597,findings,2506,0.8208938837051392,0.870833158493042,0.8451264500617981
3634,findings,3211,0.8559712767601013,0.8330487608909607,0.8443544507026672
3639,findings,3597,0.8342006802558899,0.8288024067878723,0.8314927816390991
3651,findings,3908,0.8133431673049927,0.8451172709465027,0.8289258480072021
3672,findings,740,0.8027377724647522,0.8356847167015076,0.8188799619674683
3687,findings,3141,0.8300215005874634,0.9298497438430786,0.8771042227745056
3694,findings,3039,0.8325536847114563,0.9090899229049683,0.869140088558197
3707,findings,1523,0.8616476058959961,0.9175484776496887,0.888719916343689
3756,findings,3930,0.8452036380767822,0.8433072566986084,0.8442543745040894
3766,findings,1597,0.8274036645889282,0.8566785454750061,0.8417866230010986
3770,findings,3803,0.87507164478302,0.8564879298210144,0.8656800985336304
3803,findings,2865,0.863568902015686,0.8549627065658569,0.8592442870140076
3858,findings,2348,0.8116586208343506,0.7977080345153809,0.8046228885650635
3907,findings,2161,0.8226199746131897,0.859518826007843,0.8406646847724915
3908,findings,2623,0.8619429469108582,0.8594295382499695,0.8606843948364258
3918,findings,3327,0.8220799565315247,0.8762377500534058,0.8482953310012817
3930,findings,3003,0.8329882025718689,0.8119869232177734,0.8223534226417542
3961,findings,1648,0.863920271396637,0.8907662630081177,0.8771378993988037
3967,findings,3121,0.8610903024673462,0.8471003770828247,0.8540380001068115
3977,findings,1750,0.8367935419082642,0.8129236102104187,0.8246859312057495
3979,findings,1732,0.8528616428375244,0.8739282488822937,0.8632664084434509
470,findings,3413,0.8101980090141296,0.8750879168510437,0.8413937091827393
538,findings,2636,0.8602563738822937,0.8268336653709412,0.8432139754295349
618,findings,3363,0.8399401307106018,0.8219683766365051,0.8308570981025696
740,findings,3651,0.8585373163223267,0.8107333183288574,0.8339508175849915
799,findings,1551,0.8429909348487854,0.8462324142456055,0.8446086049079895
1,impression,3229,0.7821719646453857,0.7698916792869568,0.7759832143783569
1052,impression,2229,0.7852298617362976,0.8459838032722473,0.8144754767417908
1067,impression,3189,0.9262027740478516,0.952823281288147,0.9393244385719299
1330,impression,207,0.9510075449943542,0.8868714570999146,0.9178204536437988
1473,impression,2578,0.8321866393089294,0.7960535883903503,0.8137192130088806
1520,impression,2879,0.9176973104476929,0.9427295327186584,0.9300450086593628
1523,impression,3085,0.7372210621833801,0.9174190759658813,0.817507803440094
1550,impression,2451,0.840951144695282,0.8149581551551819,0.8277506232261658
1551,impression,3967,0.8682361245155334,0.876316487789154,0.8722575902938843
1556,impression,3545,0.8101334571838379,0.7934749722480774,0.8017176985740662
1563,impression,1067,0.8625676035881042,0.9101812243461609,0.8857349753379822
1597,impression,238,0.7618909478187561,0.9048486948013306,0.8272389769554138
1648,impression,2371,0.8254009485244751,0.7364680767059326,0.77840256690979
1732,impression,3109,0.9910463094711304,0.9910463094711304,0.9910463094711304
1750,impression,3707,0.7642263174057007,0.8076547980308533,0.7853406667709351
1813,impression,799,0.8378218412399292,0.8428698778152466,0.8403382897377014
1883,impression,309,0.8927195072174072,0.9482120275497437,0.9196293950080872
1932,impression,3241,0.8313937187194824,0.8417534232139587,0.836541473865509
207,impression,1473,0.8548619151115417,0.9038310647010803,0.8786647915840149
2161,impression,618,0.808635950088501,0.8419042825698853,0.8249348402023315
2209,impression,3979,0.9910463094711304,0.9910463094711304,0.9910463094711304
2229,impression,2639,0.9999999403953552,0.9999999403953552,0.9999999403953552
2348,impression,2464,0.749761700630188,0.7529404759407043,0.7513476610183716
2349,impression,3694,0.7996354103088379,0.9555896520614624,0.8706841468811035
2371,impression,1550,0.8488115668296814,0.9620091319084167,0.9018722772598267
238,impression,3206,0.914274275302887,0.9685664176940918,0.9406375885009766
2440,impression,3687,0.859123706817627,0.7863465547561646,0.8211256861686707
2451,impression,2440,0.8121110200881958,0.8739830255508423,0.8419118523597717
2464,impression,3639,0.8585188388824463,0.7806819677352905,0.8177523612976074
2486,impression,3672,0.8713020086288452,0.8796979188919067,0.8754798769950867
2506,impression,2655,0.8084222674369812,0.843433141708374,0.8255566358566284
2516,impression,1,0.7813019156455994,0.8293566107749939,0.804612398147583
2569,impression,3858,0.9436063766479492,0.9340988993644714,0.9388285279273987
2578,impression,2963,0.9484487771987915,0.9256649017333984,0.936918318271637
2616,impression,1563,0.7943555116653442,0.8342862129211426,0.8138313293457031
2623,impression,2486,0.7675227522850037,0.82073575258255,0.7932378053665161
2636,impression,3502,0.8074890375137329,0.7650147676467896,0.7856782674789429
2639,impression,2956,0.8559386730194092,0.8151921629905701,0.8350686430931091
2655,impression,1932,0.7973500490188599,0.8551943302154541,0.825259804725647
2728,impression,3961,0.7432462573051453,0.8271313309669495,0.7829483151435852
2748,impression,2728,0.833469569683075,0.7856053113937378,0.8088299632072449
2865,impression,2748,0.764971137046814,0.8275676965713501,0.795039176940918
2879,impression,3918,0.8138335943222046,0.8018510937690735,0.8077978491783142
2880,impression,1520,0.8919376134872437,0.9598201513290405,0.9246346950531006
2902,impression,3471,0.904873251914978,0.8712617754936218,0.8877494931221008
2956,impression,1052,0.8174600601196289,0.8859915733337402,0.8503472805023193
2963,impression,470,0.909143328666687,0.8167850971221924,0.8604931235313416
3003,impression,3770,0.8745365142822266,0.7989458441734314,0.8350339531898499
3017,impression,3311,0.745219886302948,0.8860951066017151,0.8095747828483582
3039,impression,1330,0.9757963418960571,0.9757963418960571,0.9757963418960571
3085,impression,3766,0.7654417753219604,0.875217080116272,0.8166569471359253
309,impression,3977,0.8494440913200378,0.8656412959098816,0.8574662208557129
3109,impression,2209,0.7885689735412598,0.8566849231719971,0.8212169408798218
3121,impression,3907,0.8182530999183655,0.7153708934783936,0.7633611559867859
3141,impression,2880,0.8075640201568604,0.8314210176467896,0.8193188905715942
3156,impression,358,0.8059952259063721,0.9471859931945801,0.8709052801132202
3189,impression,2569,0.7302427291870117,0.8361695408821106,0.7796245813369751
3206,impression,3634,0.8649178147315979,0.8753742575645447,0.8701146245002747
3211,impression,2349,0.7845270037651062,0.80312579870224,0.7937175035476685
3229,impression,538,0.8409321904182434,0.8367710113525391,0.8388465046882629
3238,impression,3494,0.8598599433898926,0.9450795650482178,0.9004579782485962
3241,impression,1813,0.814619779586792,0.8456832766532898,0.8298608660697937
3283,impression,3017,0.8388059139251709,0.7928649187088013,0.8151887059211731
3311,impression,3156,0.9522123336791992,0.818772554397583,0.8804652690887451
3327,impression,3238,0.8764642477035522,0.7818530797958374,0.8264597654342651
3363,impression,1556,0.809391975402832,0.8020228147506714,0.805690586566925
3413,impression,3283,0.8452385067939758,0.8464158177375793,0.8458267450332642
345,impression,2516,0.8957816362380981,0.8499951958656311,0.8722879886627197
3471,impression,3546,0.7583120465278625,0.740533709526062,0.7493174076080322
3494,impression,1883,0.8292308449745178,0.8461094498634338,0.8375850915908813
3502,impression,2902,0.7444179058074951,0.8239198923110962,0.782153844833374
3545,impression,3756,0.7635116577148438,0.839633584022522,0.7997653484344482
3546,impression,345,0.7871323823928833,0.8673496842384338,0.8252964019775391
358,impression,2616,0.8194694519042969,0.7465958595275879,0.7813370823860168
3597,impression,2506,0.8548621535301208,0.8316158056259155,0.8430787920951843
3634,impression,3211,0.8539493083953857,0.804905891418457,0.8287026286125183
3639,impression,3597,0.7709134817123413,0.8453259468078613,0.8064067363739014
3651,impression,3908,0.733909010887146,0.8334983587265015,0.780539870262146
3672,impression,740,0.8364658355712891,0.8890619874000549,0.8619623780250549
3687,impression,3141,0.7361751794815063,0.7798941731452942,0.7574043273925781
3694,impression,3039,0.8829871416091919,0.900299072265625,0.8915590643882751
3707,impression,1523,0.80387943983078,0.8637669086456299,0.8327478766441345
3756,impression,3930,0.8406586647033691,0.8004997372627258,0.8200879096984863
3766,impression,1597,0.8052176237106323,0.9144539833068848,0.8563663363456726
3770,impression,3803,0.9317251443862915,0.8347266316413879,0.8805626630783081
3803,impression,2865,0.8784462809562683,0.9600375294685364,0.9174314141273499
3858,impression,2348,0.7981871366500854,0.8002814650535583,0.7992329597473145
3907,impression,2161,0.9517129063606262,0.8691482543945312,0.90855872631073
3908,impression,2623,0.9910463690757751,0.9910463690757751,0.9910463690757751
3918,impression,3327,0.817613959312439,0.7240473628044128,0.7679913640022278
3930,impression,3003,0.8925329446792603,0.9476544857025146,0.9192681312561035
3961,impression,1648,0.7923055291175842,0.8337759971618652,0.8125119209289551
3967,impression,3121,0.8384249210357666,0.9565397500991821,0.8935961723327637
3977,impression,1750,0.8635226488113403,0.8268425464630127,0.8447846174240112
3979,impression,1732,0.7769352197647095,0.9304119348526001,0.8467754125595093
470,impression,3413,0.8965813517570496,0.917853832244873,0.9070928692817688
538,impression,2636,0.7771031260490417,0.7951076626777649,0.7860022783279419
618,impression,3363,0.8088417053222656,0.8137750029563904,0.8113008141517639
740,impression,3651,0.788959264755249,0.7651478052139282,0.7768711447715759
799,impression,1551,0.8377902507781982,0.8759105205535889,0.8564264178276062
