contrast,field,component,mean_difference,ci_lower,ci_upper,excludes_zero
full_minus_labels_only,findings,precision,-0.0057772976529420475,-0.029478178898121887,0.01845378946409492,False
full_minus_labels_only,findings,recall,0.22074429021531294,0.193976518485593,0.24872939543727246,True
full_minus_labels_only,findings,fmeasure,0.10215023986231563,0.08342066140649235,0.12035189079082152,True
full_minus_labels_only,impression,precision,0.25806139901625647,0.20363598222577278,0.31594489343461296,True
full_minus_labels_only,impression,recall,0.3390056784346258,0.2680198045010545,0.41026541299587355,True
full_minus_labels_only,impression,fmeasure,0.2569579704231445,0.20357823425508204,0.3130158957645665,True
full_minus_empty,findings,precision,0.03545935200149255,0.013960383083120491,0.05676085389860424,True
full_minus_empty,findings,recall,0.27185545395582483,0.24487871564467856,0.2994683301664719,True
full_minus_empty,findings,fmeasure,0.1544681210221557,0.13673083677992784,0.17078226439676827,True
full_minus_empty,impression,precision,0.16596548829955474,0.11370678541418504,0.22028018295896687,True
full_minus_empty,impression,recall,0.15526871607924242,0.09875431862727915,0.20910966292479452,True
full_minus_empty,impression,fmeasure,0.14030038636299785,0.0917961068573287,0.18937639817208743,True
